timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2021-01-09T00:00:00.000Z";"2021-01-09T23:59:59.999Z";"2021-01-09T23:40:14.000Z";"2021-01-09T07:05:09.000Z";"2781";42.37369356;44.11974274;41.59010197;43.93285446;590039660.36;6344192422.620385;"2021-01-09T23:59:59.999Z"
"2021-01-08T00:00:00.000Z";"2021-01-08T23:59:59.999Z";"2021-01-08T00:13:07.000Z";"2021-01-08T02:46:07.000Z";"2781";43.56868766;43.59046385;40.5344802;42.39531707;650561499.76;6122161935.728049;"2021-01-08T23:59:59.999Z"
"2021-01-07T00:00:00.000Z";"2021-01-07T23:59:59.999Z";"2021-01-07T16:19:07.000Z";"2021-01-07T02:22:07.000Z";"2781";42.19662604;44.47003417;41.49586973;43.44949061;829964769.68;6274391512.121671;"2021-01-07T23:59:59.999Z"
"2021-01-06T00:00:00.000Z";"2021-01-06T23:59:59.999Z";"2021-01-06T13:40:09.000Z";"2021-01-06T01:49:07.000Z";"2781";41.77553505;42.19270217;40.5925288;42.16595486;641021601.12;6089040528.720059;"2021-01-06T23:59:59.999Z"
"2021-01-05T00:00:00.000Z";"2021-01-05T23:59:59.999Z";"2021-01-05T23:59:07.000Z";"2021-01-05T05:56:07.000Z";"2781";40.93727716;41.73459986;38.97895302;41.73459986;644270927.18;6026750036.770042;"2021-01-05T23:59:59.999Z"
"2021-01-04T00:00:00.000Z";"2021-01-04T23:59:59.999Z";"2021-01-04T06:39:07.000Z";"2021-01-04T11:37:07.000Z";"2781";41.19828184;43.13212208;38.14398195;40.92635471;807877170.68;5910034133.606776;"2021-01-04T23:59:59.999Z"
"2021-01-03T00:00:00.000Z";"2021-01-03T23:59:59.999Z";"2021-01-03T23:38:07.000Z";"2021-01-03T06:03:07.000Z";"2781";38.25372654;41.60632294;37.81810482;41.14898038;758008613.17;5942182740.661936;"2021-01-03T23:59:59.999Z"
"2021-01-02T00:00:00.000Z";"2021-01-02T23:59:59.999Z";"2021-01-02T17:22:07.000Z";"2021-01-02T01:16:07.000Z";"2781";37.91710592;38.83625408;36.92560314;38.24159295;521965394.19;5522336921.957338;"2021-01-02T23:59:59.999Z"
"2021-01-01T00:00:00.000Z";"2021-01-01T23:59:59.999Z";"2021-01-01T11:06:08.000Z";"2021-01-01T00:16:07.000Z";"2781";37.37457234;38.9281775;37.04630629;37.90501081;459165743.26;5473732252.439035;"2021-01-01T23:59:59.999Z"
"2020-12-31T00:00:00.000Z";"2020-12-31T23:59:59.999Z";"2020-12-31T00:01:07.000Z";"2020-12-31T14:34:07.000Z";"2781";38.12228929;38.16325175;36.744085;37.37603315;404140895.69;5397344407.712975;"2020-12-31T23:59:59.999Z"
"2020-12-30T00:00:00.000Z";"2020-12-30T23:59:59.999Z";"2020-12-30T00:05:07.000Z";"2020-12-30T09:46:07.000Z";"2781";38.94734816;39.15659857;36.90449215;38.13629984;501223200.93;5507131904.707579;"2020-12-30T23:59:59.999Z"
"2020-12-29T00:00:00.000Z";"2020-12-29T23:59:59.999Z";"2020-12-29T04:02:07.000Z";"2020-12-29T01:38:07.000Z";"2781";35.85218112;39.48423321;35.34263217;38.95283333;938849532.15;5625044697.978492;"2020-12-29T23:59:59.999Z"
"2020-12-28T00:00:00.000Z";"2020-12-28T23:59:59.999Z";"2020-12-28T19:49:07.000Z";"2020-12-28T00:05:08.000Z";"2781";33.53205365;35.97667421;33.4012664;35.8445565;611476292.22;5176189131.661751;"2020-12-28T23:59:59.999Z"
